RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
1,Michigan,B10,29,27-2,"129.3
178,"Utah Tech
   (A) 261 Southern Utah",WAC,30,18-12,"111.0
140","112.0
236",".4754
178","53.0
108","50.2
110","17.6
238","17.0
161","28.7
242","34.2
320","29.2
325","32.8
120","53.8
90","53.4
249","34.5
146","29.4
7","38.4
203","34.4
36","66.3
243","-5.8
130"
179,"Youngstown St.
   (A) 182 Green Bay",Horz,30,15-15,"107.9
192","109.0
172",".4731
179","54.6
55","51.7
202","19.4
325","17.9
107","31.4
152","30.7
188","31.9
261","36.6
221","57.7
24","51.2
158","34.3
156","35.1
242","50.0
16","34.7
43","67.2
194","-11.2
257"
180,Charlotte,Amer,28,15-13,"113.2
103","114.3
279",".4719
180","53.9
70","51.4
184","18.4
285","14.3
329","34.4
61","31.8
240","37.5
121","38.4
271","53.8
90","51.1
150","36.1
56","34.6
211","44.0
87","40.7
224","63.7
345","-7.9
183"
181,"New Orleans
   (H) 77 McNeese St.",Slnd,29,14-15,"110.4
149","111.6
227",".4692
181","50.2
225","48.7
59","20.7
353","14.7
313","35.3
42","35.1
338","46.1
3","40.0
293","50.8
220","48.9
64","32.7
245","32.3
81","34.0
295","40.2
207","69.9
59","-7.9
181"
182,"Green Bay
   (H) 179 Youngstown St.",Horz,30,16-14,"113.1
105","114.7
287",".4594
182","54.7
51","54.0
294","16.4
150","13.7
343","25.6
333","29.8
146","42.3
35","38.9
277","54.2
79","53.4
249","37.0
35","36.5
318","38.4
203","43.7
310","63.1
356","-8.8
211"
183,Tulane,Amer,28,17-11,"107.5
204","109.1
176",".4580
183","50.1
229","50.3
116","15.7
107","17.4
136","22.5
350","35.3
343","45.0
8","37.4
240","51.4
196","49.7
90","32.3
262","34.1
189","44.2
82","40.2
207","66.9
216","-6.3
142"
184,UT Arlington,WAC,28,15-13,"102.4
295","103.9
75",".4577
184","47.8
319","47.7
33","20.9
355","18.0
101","34.7
56","30.4
170","41.5
46","41.0
309","49.6
268","50.6
125","29.3
348","27.6
1","31.4
336","31.6
8","65.2
298","-7.7
179"
185,South Alabama,SB,31,21-10,"106.7
223","108.4
160",".4543
185","52.6
125","49.2
79","13.1
6","18.2
96","24.5
343","31.5
221","39.0
81","25.1
7","53.6
103","50.6
125","33.9
181","32.2
78","36.8
231","63.7
365","64.7
322","-6.5
147"
186,"Texas A&M Corpus Chris
   (H) 293 Northwestern St.",Slnd,29,15-14,"102.8
289","104.5
86",".4529
186","48.2
311","50.4
122","19.1
316","19.5
33","30.6
182","29.0
107","43.0
26","47.4
358","47.4
323","52.2
204","33.3
219","31.3
42","30.5
349","35.0
48","66.7
227","-8.3
202"
187,Marist,MAAC,28,18-10,"100.4
324","102.2
50",".4502
187","50.0
235","45.5
9","16.4
150","19.5
33","28.0
266","27.7
60","25.9
361","37.5
244","51.1
206","47.7
44","31.9
285","28.0
2","35.6
260","37.3
110","66.2
254","-7.4
168"
188,"Weber St.
   (A) 252 Idaho St.",BSky,29,15-14,"111.8
123","113.8
267",".4489
188","51.7
164","54.5
306","15.7
107","16.7
178","32.3
120","27.4
47","40.1
59","36.9
230","51.3
200","57.4
345","35.0
115","33.3
141","32.7
321","39.2
171","68.5
122","-9.2
217"
189,"FIU
   (A) 240 Louisiana Tech",CUSA,28,13-15,"107.1
211","109.0
174",".4488
189","50.2
225","53.0
256","17.3
214","19.9
26","32.5
112","35.0
335","39.2
77","34.7
169","49.6
268","52.2
204","34.3
156","36.0
295","33.2
310","45.3
337","71.9
14","-9.8
230"
190,"Furman
   (A) 230 Western Carolina",SC,30,19-11,"106.0
238","107.9
152",".4487
190","54.2
63","49.1
72","18.2
270","13.6
347","31.6
143","27.7
60","31.9
261","27.7
27","59.5
10","49.7
90","32.2
268","32.3
81","47.4
30","42.2
270","66.1
257","-8.1
187"
191,"New Mexico St.
   (A) 143 Middle Tennessee",CUSA,27,13-14,"110.3
150","112.4
246",".4474
191","49.3
272","49.2
79","15.2
71","14.4
325","32.5
112","29.2
116","33.6
225","43.6
336","49.0
284","49.1
71","33.2
225","32.9
115","40.3
164","42.4
279","66.7
226","-10.1
238"
192,"Northern Kentucky
   (H) 130 Wright St.",Horz,30,18-12,"106.7
222","108.9
171",".4429
192","52.6
125","53.7
286","16.9
185","19.3
44","31.9
133","31.8
240","35.3
176","37.8
252","55.5
53","53.4
249","32.8
243","36.1
299","45.5
56","38.6
149","69.7
67","-8.2
192"
193,"Monmouth
   (H) 234 Elon",CAA,29,15-14,"105.7
242","107.9
151",".4425
193","49.2
280","50.1
109","16.9
185","19.4
38","31.5
148","32.5
278","32.9
240","32.3
111","47.6
317","49.3
76","34.8
129","34.2
192","34.2
290","38.7
152","67.2
198","-9.7
227"
194,"Missouri St.
   (A) 95 Sam Houston St.",CUSA,28,13-15,"108.3
183","110.5
198",".4415
194","49.9
242","52.3
223","17.4
222","17.7
117","32.8
100","31.4
216","44.9
9","40.9
307","50.8
220","52.1
196","32.4
260","35.1
242","41.3
145","37.0
99","65.7
272","-10.9
250"
195,"Columbia
   (H) 96 Yale",Ivy,26,16-10,"109.2
166","111.5
223",".4401
195","54.4
58","50.5
126","19.5
332","14.7
313","36.2
26","27.7
60","29.7
317","33.2
127","53.7
95","49.4
79","37.0
35","34.9
234","38.0
214","35.8
69","66.9
218","-6.1
136"
196,"Jacksonville St.
   (H) 109 Liberty",CUSA,28,14-14,"106.8
219","109.1
179",".4371
196","49.9
242","49.6
88","17.1
203","16.5
191","29.5
224","28.9
101","43.2
17","37.7
251","47.6
317","49.7
90","35.7
77","32.9
115","39.3
187","43.6
308","64.9
314","-10.3
243"
197,"Portland
   (H) 218 San Diego",WCC,30,12-18,"106.4
228","108.8
167",".4364
197","50.9
195","53.3
271","20.1
347","17.4
136","27.8
274","32.7
286","35.0
186","33.7
142","54.5
73","51.7
181","29.6
345","36.8
330","36.1
247","46.0
344","68.5
120","-10.1
237"
198,Drexel,CAA,30,16-14,"103.1
279","105.6
103",".4318
198","50.9
195","46.9
22","18.9
307","16.2
211","31.0
164","30.4
170","30.9
290","35.8
198","50.0
251","47.2
33","34.9
122","30.9
36","39.8
175","34.0
29","64.3
328","-10.4
245"
199,Siena,MAAC,30,19-11,"107.9
195","110.6
204",".4282
199","51.0
189","49.8
99","16.0
127","17.8
113","31.8
137","29.4
125","33.3
233","28.7
40","54.0
86","49.8
97","29.7
344","33.3
141","31.8
330","39.4
179","64.7
320","-7.9
184"
200,"Campbell
   (A) 201 Towson",CAA,29,13-16,"109.6
160","112.4
248",".4279
200","49.3
272","55.0
323","17.6
238","17.4
136","32.7
104","31.5
221","42.3
35","37.4
240","49.9
255","54.9
301","32.1
273","36.8
330","37.4
226","30.0
5","70.0
53","-9.6
225"
201,"Towson
   (H) 200 Campbell",CAA,29,15-14,"102.0
300","104.7
90",".4242
201","45.8
351","49.5
85","16.2
141","15.5
259","35.3
42","27.7
60","30.6
301","31.3
86","48.3
302","51.0
145","27.5
365","31.6
51","35.7
258","41.7
259","64.0
340","-8.5
206"
202,Marshall,SB,31,19-12,"113.2
102","116.3
307",".4242
202","54.9
49","50.5
126","16.5
154","16.3
201","32.0
126","33.5
311","29.1
327","41.0
309","54.7
69","50.3
115","36.7
41","33.8
166","44.3
80","39.6
183","69.4
80","-7.5
172"
203,"Mercer
   (H) 164 East Tennessee St.",SC,30,18-12,"111.3
132","114.4
282",".4223
203","53.0
108","52.9
252","15.3
76","17.0
161","32.8
100","32.0
253","38.5
92","30.0
57","53.4
114","51.6
176","34.9
122","36.4
315","39.3
187","42.2
270","69.2
91","-7.4
169"
204,"Tarleton St.
   (A) 117 Cal Baptist",WAC,29,14-15,"103.8
267","106.7
121",".4223
204","48.8
294","53.9
291","20.0
345","23.9
2","30.6
182","35.2
339","40.4
54","45.4
349","48.9
288","54.5
291","32.3
262","35.4
258","24.7
365","40.8
230","69.7
68","-9.5
221"
205,"Howard
   (A) 353 Morgan St.",MEAC,28,18-10,"103.0
283","106.0
109",".4197
205","50.1
229","48.1
48","19.9
341","21.6
8","35.7
31","32.0
253","42.1
38","39.7
285","49.5
271","48.7
61","34.1
168","31.4
47","34.0
295","34.9
47","69.2
94","-7.0
159"
206,"Queens
   (A) 151 Central Arkansas",ASun,30,18-12,"114.8
86","118.2
330",".4153
206","56.7
19","54.9
319","14.7
46","15.0
292","30.9
170","32.8
292","36.8
144","39.8
287","59.5
10","54.5
291","35.6
84","37.0
336","46.4
38","39.7
186","69.5
75","-6.5
146"
207,"Cal St. Fullerton
   (H) 111 Hawaii",BW,29,15-14,"107.9
193","111.3
220",".4121
207","51.6
170","55.3
330","15.4
83","19.1
54","25.1
340","28.8
96","38.4
97","35.8
198","51.9
171","57.3
343","34.2
162","35.3
253","41.8
137","46.1
345","73.0
6","-8.2
193"
208,La Salle,A10,28,8-20,"103.9
266","107.2
132",".4107
208","45.3
355","54.4
304","19.0
311","17.4
136","33.5
84","31.3
212","37.2
128","31.2
82","45.2
352","55.0
304","30.3
336","35.7
280","31.3
338","42.5
281","65.0
310","-12.7
281"
209,James Madison,SB,31,17-14,"109.1
169","112.7
251",".4091
209","52.8
117","49.1
72","17.2
209","13.0
356","30.6
182","29.7
140","35.4
174","40.5
299","52.1
164","49.2
75","35.8
73","32.7
100","43.6
97","39.3
174","65.4
287","-9.6
223"
210,"Buffalo
   (H) 247 Central Michigan",MAC,28,16-12,"112.2
117","116.0
302",".4049
210","55.1
42","54.8
316","16.2
141","18.1
98","27.8
274","31.1
200","41.5
46","31.8
98","53.6
103","56.9
342","38.0
19","34.7
218","45.6
53","43.1
292","66.7
224","-8.2
191"
211,Quinnipiac,MAAC,30,18-12,"103.9
265","107.5
142",".4049
211","48.6
300","49.2
79","16.0
127","17.7
117","34.1
69","32.3
268","32.7
245","30.7
71","47.3
324","47.4
38","34.1
168","35.0
237","33.7
304","35.4
56","70.0
52","-7.8
180"
212,"Detroit Mercy
   (A) 168 Oakland",Horz,28,14-14,"108.8
174","112.9
253",".3950
212","49.3
272","52.6
236","16.5
154","14.1
335","33.5
84","30.8
192","31.7
266","37.8
252","47.9
309","53.9
274","34.9
122","33.9
174","31.5
335","43.5
304","69.2
95","-9.4
218"
213,Drake,MVC,30,12-18,"110.2
155","114.4
281",".3944
213","51.7
164","52.9
252","14.8
50","14.8
308","26.4
315","29.3
122","33.9
221","33.5
137","51.4
196","50.6
125","34.7
131","37.3
342","44.5
75","43.3
302","67.3
191","-12.5
278"
214,Indiana St.,MVC,30,10-20,"106.2
231","110.3
192",".3939
214","52.3
141","50.7
142","19.2
319","14.7
313","25.9
322","31.2
206","28.3
338","27.9
28","57.2
37","52.5
218","30.9
319","31.6
51","45.0
63","34.4
36","68.4
131","-14.0
306"
215,"Ohio
   (H) 150 Toledo",MAC,28,15-13,"107.9
191","112.1
240",".3927
215","51.3
179","52.7
244","16.1
136","17.1
155","28.6
246","32.7
286","36.9
141","36.7
226","55.0
61","51.2
158","30.1
342","37.0
336","37.9
221","33.5
21","68.8
108","-8.3
197"
216,"Bethune Cookman
   (A) 253 Southern",SWAC,29,16-13,"104.0
264","108.1
156",".3905
216","51.0
189","49.6
88","19.0
311","15.9
238","29.9
205","31.2
206","39.9
63","38.9
277","51.0
213","50.4
117","33.9
181","31.9
62","30.6
348","33.5
21","69.0
101","-6.7
153"
217,"South Dakota St.
   (A) 274 South Dakota",Sum,30,14-16,"107.9
194","112.1
241",".3903
217","52.5
128","51.6
200","16.0
127","14.8
308","29.6
220","25.8
17","30.4
305","33.1
124","53.2
119","52.2
204","34.3
156","33.9
174","39.1
191","47.2
354","67.2
199","-11.2
258"
218,"San Diego
   (A) 197 Portland",WCC,30,11-19,"108.6
177","113.0
254",".3873
218","51.2
183","55.1
326","17.2
209","19.4
38","28.1
264","35.2
339","25.8
362","39.9
290","50.8
220","58.7
355","34.4
152","33.3
141","43.7
96","40.7
224","68.7
112","-12.1
270"
219,"Cal Poly
   (A) 127 UC San Diego",BW,29,13-16,"109.4
164","113.8
269",".3872
219","52.0
148","54.0
294","20.5
351","16.6
185","29.8
213","30.1
156","36.6
148","34.1
148","53.7
95","54.8
298","33.7
191","35.2
250","52.9
5","42.0
263","74.1
1","-10.3
242"
220,"San Jose St.
   (H) 91 Colorado St.",MWC,28,8-20,"111.3
134","115.8
299",".3862
220","49.2
280","56.9
356","16.0
127","17.7
117","29.6
220","36.0
350","32.2
254","35.2
183","46.1
342","59.6
363","36.0
62","35.3
253","38.7
198","39.8
188","64.8
316","-11.4
260"
221,"Stony Brook
   (A) 99 Hofstra",CAA,29,17-12,"106.1
236","110.5
196",".3854
221","50.7
210","50.2
110","17.0
196","17.1
155","28.2
261","32.3
268","29.1
327","32.4
114","49.2
279","48.6
59","35.1
110","35.2
250","45.7
50","39.5
181","65.9
266","-8.3
196"
222,"Lipscomb
   (A) 282 Eastern Kentucky",ASun,30,18-12,"106.2
235","110.6
201",".3853
222","54.3
61","53.0
256","16.2
141","17.7
117","25.9
322","29.6
135","26.5
353","29.7
53","54.5
73","54.3
286","36.1
56","34.0
182","47.1
31","39.6
183","69.9
55","-6.9
157"
223,Coastal Carolina,SB,31,19-12,"102.6
290","107.0
128",".3817
223","47.9
317","46.2
14","15.1
67","12.4
361","26.7
303","27.4
47","31.6
268","35.1
180","46.0
345","45.0
9","33.7
191","32.4
86","42.6
124","35.4
56","67.2
195","-7.9
185"
224,"Lamar
   (A) 284 Incarnate Word",Slnd,29,12-17,"105.1
253","110.0
188",".3742
224","48.2
311","50.4
122","17.7
247","17.0
161","35.5
38","29.6
135","28.7
335","43.8
341","46.8
331","49.1
71","33.9
181","35.1
242","34.0
295","37.5
119","65.1
305","-12.3
273"
225,Rice,Amer,28,11-17,"108.9
171","114.0
272",".3711
225","48.4
304","51.5
190","18.3
277","16.1
222","34.9
49","34.8
333","35.0
186","40.4
297","45.2
352","51.1
150","35.1
110","34.9
234","42.9
114","35.6
60","65.6
276","-11.8
266"
226,Denver,Sum,31,15-16,"115.8
76","121.3
353",".3700
226","53.7
76","56.0
344","14.0
25","13.0
356","29.9
205","33.0
300","33.2
234","36.8
228","52.5
147","56.7
339","37.1
32","36.6
321","38.5
200","37.0
99","68.0
146","-10.0
235"
227,"UMBC
   (A) 315 UMass Lowell",AE,27,19-8,"105.5
249","110.6
200",".3675
227","52.7
122","50.3
116","14.5
35","15.1
281","24.2
346","25.0
11","33.7
222","26.0
12","53.1
122","50.0
105","34.7
131","33.8
166","38.8
196","37.0
99","66.1
258","-5.3
116"
228,Texas St.,SB,31,19-12,"104.6
256","109.7
184",".3652
228","50.0
235","51.9
209","18.7
299","18.6
84","33.7
76","28.7
91","34.0
217","37.9
257","50.5
230","50.9
138","32.2
268","35.7
280","25.1
364","38.1
139","66.2
253","-8.8
213"
229,"Tennessee Martin
   (H) 259 Tennessee St.",OVC,30,21-9,"100.5
323","105.6
102",".3605
229","49.3
272","45.5
9","21.2
357","19.9
26","37.8
12","31.8
240","39.0
81","37.8
252","52.0
166","46.4
19","30.9
319","29.4
7","46.9
32","40.1
201","64.6
325","-6.3
141"
230,"Western Carolina
   (H) 190 Furman",SC,28,13-15,"110.0
156","115.6
298",".3592
230","50.6
214","55.0
323","16.8
177","14.7
313","34.2
66","26.8
33","30.7
294","38.6
273","50.6
227","54.9
301","33.7
191","36.7
325","40.7
154","44.5
327","68.2
138","-9.9
234"
231,Eastern Michigan,MAC,29,10-19,"102.5
292","107.8
150",".3586
231","49.7
251","50.4
122","17.5
230","15.8
247","28.2
261","29.3
122","29.3
323","35.1
180","49.7
263","51.2
158","33.2
225","32.5
93","32.3
328","35.6
60","66.3
246","-13.0
288"
232,Southern Miss,SB,31,16-15,"103.1
282","108.4
161",".3581
232","49.0
286","51.5
190","19.0
311","17.9
107","32.0
126","28.3
76","42.4
34","42.8
328","51.3
200","50.4
117","29.1
351","35.5
264","29.8
353","41.1
241","68.7
111","-10.4
244"
233,"LIU
   (H) 336 Fairleigh Dickinson",NEC,30,20-10,"103.6
269","109.2
181",".3535
233","52.9
114","50.0
105","19.7
336","18.9
62","35.0
45","32.8
292","33.4
230","34.4
156","52.7
141","50.9
138","35.5
93","32.1
72","29.0
355","33.3
18","68.3
133","-5.8
126"
234,"Elon
   (A) 193 Monmouth",CAA,29,14-15,"111.6
129","117.7
320",".3512
234","53.2
95","53.9
291","15.2
71","16.1
222","32.5
112","33.6
312","33.5
228","35.0
176","53.5
109","53.5
255","35.2
104","36.3
310","42.9
114","44.3
324","67.0
208","-10.7
248"
235,Old Dominion,SB,31,11-20,"106.1
237","111.9
235",".3505
235","50.1
229","50.6
136","15.6
98","14.6
321","25.9
322","30.7
188","34.3
210","40.9
307","49.2
279","52.3
211","34.5
146","31.6
51","36.0
250","35.8
69","69.1
96","-14.4
315"
236,Saint Peter's,MAAC,27,16-11,"104.1
263","109.8
186",".3495
236","46.2
346","48.5
55","17.2
209","20.1
21","37.1
17","33.9
317","35.8
166","48.2
360","46.2
341","48.4
53","30.9
319","32.4
86","39.0
193","36.0
74","65.6
281","-7.7
178"
237,"Nebraska Omaha
   (A) 110 St. Thomas",Sum,30,15-15,"108.2
184","114.2
276",".3493
237","53.4
84","53.4
274","16.5
154","14.3
329","26.7
303","28.6
89","35.0
186","33.9
146","53.4
114","56.5
333","35.7
77","33.1
132","40.4
163","45.3
337","67.6
178","-11.0
252"
238,"Radford
   (A) 271 Longwood",BSth,30,16-14,"107.1
212","113.0
256",".3484
238","51.6
170","52.8
249","17.2
209","18.4
88","29.7
217","31.9
247","42.3
35","39.9
290","52.2
162","53.1
239","34.0
176","35.0
237","45.6
53","38.3
141","70.6
32","-9.8
232"
239,"Dartmouth
   (A) 258 Princeton",Ivy,25,11-14,"105.6
247","111.5
225",".3477
239","52.4
134","51.2
171","18.0
260","13.7
343","23.8
347","30.3
166","36.7
146","30.5
70","49.5
271","52.6
222","36.9
37","32.7
100","48.6
21","38.5
147","69.5
72","-9.8
231"
240,"Louisiana Tech
   (H) 189 FIU",CUSA,28,16-12,"100.3
328","106.0
110",".3459
240","46.4
341","48.6
56","18.8
305","17.7
117","35.4
41","31.5
221","34.8
193","35.8
198","48.8
289","46.9
25","27.7
363","33.6
151","33.1
312","45.8
343","64.2
333","-8.2
190"
241,"American
   (H) 254 Boston University",Pat,30,16-14,"106.2
233","112.3
245",".3458
241","51.6
170","53.6
283","15.9
122","19.0
58","26.5
312","29.8
146","29.1
327","43.7
338","53.0
126","54.4
289","33.4
215","34.8
228","46.6
36","36.8
92","66.8
220","-9.9
233"
242,"Samford
   (H) 292 UNC Greensboro",SC,30,17-13,"108.1
185","114.5
283",".3423
242","52.4
134","51.8
203","13.1
6","13.2
353","25.4
336","25.9
18","43.2
17","32.8
120","52.9
130","51.1
150","34.5
146","35.3
253","45.0
63","36.2
81","67.0
210","-8.8
212"
243,Fairfield,MAAC,30,19-11,"108.3
181","114.8
288",".3396
243","49.8
246","51.1
160","15.3
76","16.2
211","35.8
28","28.9
101","27.9
344","30.4
66","49.5
271","51.2
158","33.5
209","34.0
182","35.4
262","36.1
79","67.2
193","-8.1
189"
244,Iona,MAAC,30,17-13,"104.2
261","110.6
202",".3363
244","51.9
154","48.9
67","16.9
185","16.8
173","27.3
289","31.7
234","29.0
331","28.3
32","50.7
225","51.0
145","35.6
84","30.5
27","45.7
50","40.0
195","69.1
99","-9.5
222"
245,"Nicholls St.
   (H) 298 Southeastern Louisiana",Slnd,29,12-17,"106.4
229","113.0
255",".3318
245","51.2
183","54.9
319","17.0
196","20.6
20","26.6
308","34.5
324","34.5
203","38.8
275","51.2
204","56.4
330","34.1
168","35.0
237","44.0
87","37.8
128","68.6
117","-11.2
256"
246,"Colgate
   (A) 139 Navy",Pat,30,17-13,"107.3
209","114.1
275",".3305
246","53.1
102","51.6
200","14.6
42","15.5
259","26.6
308","29.5
130","29.8
312","33.2
127","52.8
133","51.7
181","35.8
73","34.3
199","34.4
284","41.8
262","67.0
212","-8.4
203"
247,"Central Michigan
   (A) 210 Buffalo",MAC,28,9-19,"106.8
216","113.7
266",".3288
247","51.5
174","53.4
274","17.8
252","17.1
155","29.0
232","34.6
325","32.5
249","41.0
309","52.3
157","53.4
249","33.3
219","35.5
264","34.1
293","37.7
126","67.1
201","-13.9
305"
248,"Abilene Christian
   (A) 81 Utah Valley",WAC,28,13-15,"101.1
312","107.7
146",".3281
248","47.7
322","56.7
352","20.7
353","23.8
3","32.4
117","29.4
125","38.7
87","52.5
364","47.8
315","55.1
307","31.6
300","40.1
364","32.7
321","30.7
6","66.8
221","-9.8
229"
249,"Florida Gulf Coast
   (A) 321 Stetson",ASun,30,14-16,"106.7
220","113.6
265",".3270
249","52.4
134","53.5
278","16.1
136","16.2
211","31.3
155","29.2
116","30.4
305","40.0
293","52.8
133","53.5
255","34.6
140","35.6
274","38.5
200","46.5
348","68.0
145","-11.6
262"
250,"Wofford
   (H) 351 The Citadel",SC,30,19-11,"109.7
159","116.8
314",".3267
250","52.2
145","53.7
286","13.6
13","15.0
292","29.9
205","29.1
112","37.2
128","35.8
198","52.4
154","53.1
239","34.7
131","36.3
310","42.9
114","37.4
115","67.9
151","-7.5
173"
251,"Southeast Missouri St.
   (H) 328 Tennessee Tech",OVC,30,18-12,"101.6
305","108.2
158",".3251
251","50.1
229","49.6
88","17.4
222","18.4
88","29.9
205","27.5
51","39.3
75","47.0
356","52.0
166","49.0
69","31.1
314","33.8
166","36.3
243","34.1
30","69.3
89","-8.3
201"
252,"Idaho St.
   (H) 188 Weber St.",BSky,29,12-17,"110.4
148","117.8
327",".3229
252","52.7
122","54.5
306","17.3
214","15.3
271","32.6
108","29.1
112","37.9
109","36.3
211","53.8
90","56.0
319","34.2
162","34.7
218","42.7
122","37.5
119","64.8
317","-11.5
261"
253,"Southern
   (H) 216 Bethune Cookman",SWAC,28,13-15,"105.6
246","112.7
252",".3223
253","48.7
299","53.7
286","16.8
177","18.9
62","30.9
170","31.9
247","40.4
54","44.1
342","47.9
309","52.5
218","33.6
201","37.0
336","32.8
317","39.2
171","70.2
45","-9.4
219"
254,"Boston University
   (A) 241 American",Pat,30,14-16,"112.1
118","119.9
346",".3172
254","57.3
15","54.3
299","17.4
222","13.3
351","28.3
259","26.7
31","32.1
257","30.4
66","56.3
45","53.0
234","39.0
9","37.5
346","44.2
82","41.3
249","63.3
350","-13.1
292"
255,"UNC Asheville
   (H) 264 Charleston Southern",BSth,29,14-15,"103.5
271","110.7
207",".3168
255","51.0
189","50.8
148","17.6
238","15.4
263","30.3
190","31.3
212","37.9
109","37.6
248","49.7
263","52.3
211","35.6
84","32.2
78","33.1
312","38.0
135","64.7
321","-11.0
253"
256,"Long Beach St.
   (A) 325 Cal St. Bakersfield",BW,29,8-21,"104.3
260","111.8
232",".3103
256","49.8
246","54.2
298","17.7
247","17.9
107","26.6
308","29.0
107","29.9
311","40.7
305","51.1
206","54.8
298","31.6
300","35.5
264","35.1
270","35.4
56","68.1
140","-15.1
323"
257,"Delaware
   (A) 161 Kennesaw St.",CUSA,28,9-19,"106.5
226","114.2
277",".3095
257","53.6
78","50.7
142","18.1
264","13.9
338","21.2
362","30.6
179","30.5
303","30.1
59","52.5
147","50.1
109","36.6
45","34.3
199","45.6
53","43.8
313","62.8
361","-14.4
316"
258,"Princeton
   (H) 239 Dartmouth",Ivy,27,8-19,"105.7
243","113.4
261",".3083
258","49.3
272","52.5
233","16.9
185","14.5
322","27.7
277","28.7
91","34.6
200","33.2
127","48.5
298","56.1
322","33.5
209","31.6
51","44.4
79","41.1
241","63.7
344","-14.4
314"
259,"Tennessee St.
   (A) 229 Tennessee Martin",OVC,29,20-9,"108.1
187","116.0
303",".3078
259","49.5
265","52.3
223","16.2
141","19.9
26","34.5
59","30.6
179","35.4
174","43.4
335","50.1
245","52.6
222","32.0
278","34.5
204","30.1
352","35.2
53","70.4
36","-5.8
128"
260,Georgia Southern,SB,31,16-15,"107.7
197","115.6
297",".3072
260","50.0
235","52.1
217","14.5
35","18.7
72","28.6
246","34.7
329","39.8
65","41.6
318","51.9
171","53.0
234","32.0
278","33.7
158","47.7
27","38.6
149","70.9
27","-11.7
264"
261,"Southern Utah
   (H) 178 Utah Tech",WAC,28,9-19,"105.9
240","114.0
271",".3015
261","50.3
222","53.6
283","20.9
355","14.9
306","28.7
242","33.8
315","32.5
249","29.1
45","50.0
251","52.0
193","34.0
176","38.4
359","34.9
274","29.8
4","70.5
34","-13.1
290"
262,"Purdue Fort Wayne
   (A) 280 IU Indy",Horz,30,16-14,"105.5
248","113.5
263",".3015
262","52.8
117","56.1
345","14.7
46","19.3
44","22.2
351","35.0
335","30.7
294","28.7
40","53.6
103","55.3
310","34.6
140","38.1
354","45.8
48","44.1
319","68.1
142","-8.5
208"
263,Vermont,AE,30,19-11,"105.7
244","113.8
268",".2993
263","53.2
95","50.7
142","14.4
31","14.3
329","26.2
319","22.9
2","30.7
294","37.1
233","55.5
53","49.0
69","33.6
201","35.4
258","44.6
70","40.9
232","65.0
309","-8.7
209"
264,"Charleston Southern
   (A) 255 UNC Asheville",BSth,30,14-16,"104.3
258","112.4
247",".2976
264","53.6
78","47.1
24","18.9
307","12.9
358","30.2
197","30.4
170","29.8
312","42.9
330","54.7
69","46.3
18","35.0
115","32.5
93","50.0
16","31.2
7","71.5
20","-12.5
279"
265,Milwaukee,Horz,31,12-19,"106.8
217","115.2
293",".2950
265","50.2
225","55.4
333","15.4
83","15.9
238","33.3
90","29.4
125","32.1
257","35.8
198","51.0
213","55.8
316","32.6
247","36.5
318","38.2
210","40.4
214","67.7
172","-12.8
284"
266,"SIU Edwardsville
   (H) 327 Eastern Illinois",OVC,30,18-12,"98.2
340","105.9
108",".2945
266","49.0
286","45.4
8","17.9
257","17.1
155","29.8
213","32.0
253","31.4
276","34.5
160","47.8
315","45.1
11","34.2
162","30.6
29","35.3
265","39.0
163","64.6
324","-9.7
228"
267,"Sacramento St.
   (A) 135 Montana St.",BSky,28,9-19,"107.7
198","116.3
308",".2931
267","47.5
326","55.8
340","14.5
35","17.0
161","26.5
312","33.3
309","41.9
40","37.1
233","47.3
324","56.8
340","31.9
285","36.3
310","35.9
253","42.8
290","72.1
13","-13.4
298"
268,"UTEP
   (A) 152 Western Kentucky",CUSA,28,10-18,"102.5
293","110.8
210",".2907
268","48.5
301","51.8
203","17.4
222","18.1
98","27.1
294","33.3
309","31.3
277","41.0
309","46.5
337","52.1
196","34.2
162","34.2
192","40.1
166","37.8
128","64.7
319","-13.1
291"
269,"UC Riverside
   (H) 141 Cal St. Northridge",BW,30,9-21,"102.3
296","110.5
197",".2907
269","49.0
286","52.6
236","19.7
336","15.6
254","27.6
281","29.9
149","35.2
179","40.5
299","50.0
251","53.5
255","31.6
300","33.8
166","38.0
214","32.5
15","68.3
135","-14.8
321"
270,"Pepperdine
   (H) 116 Washington St.",WCC,30,8-22,"105.4
250","114.0
273",".2893
270","47.8
319","54.5
306","18.5
289","16.4
199","27.9
271","33.8
315","34.1
214","28.5
37","48.0
307","55.3
310","31.7
295","35.6
274","39.7
177","40.5
217","68.1
143","-14.4
313"
271,"Longwood
   (H) 238 Radford",BSth,30,15-15,"102.9
286","111.6
228",".2817
271","49.8
246","53.8
290","19.2
319","20.0
23","34.0
71","28.4
80","40.0
61","41.2
315","51.2
204","56.0
319","31.4
307","33.9
174","34.6
280","42.2
270","68.4
129","-11.8
268"
